Krok,CzasOczekiwania(s),ZatrzymanePojazdy,SredniaPredkosc(m/s)
277,1435.0,54,4.76
278,1444.0,53,4.81
279,1455.0,53,4.63
280,1506.0,54,4.67
281,1523.0,55,4.5
282,1580.0,57,4.58
283,1641.0,61,4.35
284,1676.0,61,4.24
285,1639.0,59,4.04
286,1600.0,57,4.02
287,1569.0,59,3.92
288,1542.0,59,3.57
289,1523.0,62,3.44
290,1487.0,62,3.48
291,1455.0,64,3.38
292,1424.0,63,3.37
293,1389.0,64,3.28
294,1357.0,63,3.25
295,1343.0,62,3.06
296,1385.0,63,3.11
297,1378.0,64,3.18
298,1428.0,66,3.19
299,1474.0,65,3.19
300,1529.0,68,3.12
301,1578.0,66,2.99
302,1632.0,67,2.96
303,1685.0,67,2.92
304,1742.0,68,3.05
305,1800.0,70,3.12
306,1859.0,70,3.17
307,1918.0,69,3.06
308,1978.0,70,3.15
309,2039.0,70,3.07
310,2100.0,69,3.07
311,2170.0,70,2.87
312,2230.0,69,2.97
313,2290.0,69,2.96
314,2351.0,69,2.93
315,2362.0,68,2.85
316,2430.0,68,2.95
317,2500.0,70,2.9
318,2569.0,70,2.86
319,2639.0,70,2.76
320,2711.0,72,2.71
321,2785.0,74,2.67
322,2734.0,74,2.66
323,2682.0,73,2.75
324,2634.0,73,2.7
325,2587.0,72,2.78
326,2555.0,73,2.7
327,2526.0,74,2.6
328,2497.0,75,2.57
329,2487.0,75,2.45
330,2481.0,77,2.3
331,2478.0,78,2.06
332,2476.0,78,2.02
333,2559.0,83,2.0
334,2565.0,85,2.02
335,2575.0,89,2.02
336,2584.0,89,1.99
337,2594.0,89,2.02
338,2686.0,92,2.15
339,2699.0,92,2.31
340,2712.0,93,2.35
341,2727.0,92,2.41
342,2742.0,91,2.45
343,2757.0,91,2.43
344,2775.0,91,2.47
345,2793.0,91,2.45
346,2835.0,92,2.3
347,2822.0,93,2.09
348,2808.0,92,2.05
349,2869.0,93,2.02
350,2944.0,96,2.03
351,3021.0,97,2.02
352,3034.0,97,2.11
353,3048.0,95,2.13
354,3062.0,93,2.1
355,3085.0,91,2.2
356,3118.0,92,2.33
357,3146.0,94,2.49
358,3181.0,94,2.47
359,3219.0,97,2.52
360,3196.0,94,2.63
361,3176.0,92,2.62
362,3190.0,92,2.84
363,3206.0,90,2.9
364,3232.0,90,3.07
365,3281.0,89,3.13
366,3311.0,89,3.27
367,3345.0,89,3.28
368,3391.0,88,3.3
369,3481.0,90,3.48
370,3532.0,90,3.46
371,3585.0,91,3.53
372,3639.0,91,3.51
373,3678.0,91,3.46
374,3718.0,91,3.46
375,3760.0,91,3.42
376,3803.0,92,3.43
377,3845.0,91,3.4
378,3888.0,91,3.31
379,3933.0,92,3.3
380,3978.0,92,3.21
381,4025.0,93,3.17
382,4073.0,94,2.99
383,4123.0,95,3.03
384,4173.0,95,3.06
385,4271.0,98,3.05
386,4352.0,98,3.03
387,4435.0,99,3.04
388,4518.0,98,2.97
389,4602.0,99,2.92
390,4685.0,98,2.88
391,4770.0,100,2.81
392,4858.0,101,2.88
393,4949.0,102,2.78
394,5051.0,102,2.83
395,5142.0,103,2.78
396,5235.0,104,2.8
397,5308.0,104,2.78
398,5400.0,104,2.8
399,5436.0,105,2.67
400,5421.0,104,2.74
401,5420.0,102,2.75
402,5444.0,101,2.82
403,5482.0,104,2.89
404,5520.0,104,2.82
405,5494.0,101,2.75
406,5494.0,103,2.77
407,5492.0,100,2.75
408,5491.0,99,2.78
409,5491.0,99,2.75
410,5491.0,98,2.66
411,5559.0,99,2.75
412,5563.0,98,2.59
413,5568.0,98,2.5
414,5575.0,96,2.4
415,5646.0,97,2.34
416,5576.0,96,2.4
417,5671.0,97,2.36
418,5707.0,98,2.39
419,5748.0,101,2.44
420,5789.0,102,2.47
421,5831.0,102,2.47
422,5875.0,104,2.44
423,5919.0,104,2.31
424,5966.0,107,2.3
425,6076.0,110,2.27
426,6188.0,112,2.21
427,6301.0,113,2.25
428,6262.0,116,2.25
429,6222.0,115,2.29
430,6185.0,116,2.33
431,6148.0,116,2.35
432,6114.0,117,2.29
433,6080.0,117,2.22
434,6046.0,117,2.21
435,6017.0,119,2.19
436,5989.0,121,2.17
437,6111.0,122,2.11
438,6084.0,122,2.06
439,6058.0,123,2.08
440,5920.0,121,2.2
441,5784.0,121,2.25
442,5761.0,122,2.35
443,5737.0,121,2.22
444,5714.0,121,2.28
445,5694.0,124,2.27
446,5670.0,124,2.32
447,5648.0,123,2.23
448,5771.0,125,2.26
449,5754.0,127,2.13
450,5673.0,126,2.06
451,5599.0,124,1.97
452,5492.0,125,1.85
453,5395.0,124,1.79
454,5299.0,123,1.75
455,5335.0,124,1.76
456,5265.0,123,1.77
457,5236.0,124,1.82
458,5123.0,124,1.77
459,5005.0,120,1.71
460,4894.0,118,1.73
461,4789.0,116,1.7
462,4671.0,116,1.74
463,4632.0,112,1.8
464,4490.0,109,1.98
465,4359.0,108,2.01
466,4255.0,108,2.08
467,4165.0,104,2.16
468,4186.0,103,2.27
469,4124.0,104,2.29
470,4067.0,101,2.34
471,4013.0,100,2.31
472,4025.0,103,2.25
473,3973.0,102,2.16
474,3981.0,106,2.08
475,4022.0,105,1.99
476,3984.0,108,1.9
477,3954.0,109,1.88
478,3933.0,109,1.8
479,3907.0,108,1.9
480,3889.0,110,1.83
481,3948.0,113,1.89
482,4003.0,110,1.93
483,3986.0,110,1.93
484,3969.0,108,1.92
485,4030.0,110,1.91
486,4069.0,111,1.81
487,3966.0,106,1.75
488,4006.0,107,1.7
489,4024.0,107,1.7
490,4114.0,110,1.69
491,4135.0,110,1.67
492,4179.0,111,1.82
493,4207.0,114,1.84
494,4125.0,113,1.87
495,4092.0,112,1.93
496,4012.0,107,2.05
497,3939.0,105,2.21
498,3872.0,104,2.36
499,3862.0,99,2.52
500,3872.0,99,2.62
501,3880.0,96,2.74
502,3900.0,94,2.96
503,3979.0,95,3.03
504,4017.0,94,3.15
505,3985.0,94,3.23
506,3954.0,92,3.22
507,3952.0,91,3.19
508,3977.0,91,3.16
509,3983.0,93,3.08
510,3991.0,95,2.99
511,3946.0,94,2.99
512,3906.0,93,3.07
513,3816.0,92,3.17
514,3736.0,92,3.2
515,3678.0,93,3.27
516,3624.0,93,3.4
517,3616.0,95,3.48
518,3663.0,96,3.54
519,3660.0,98,3.56
520,3705.0,98,3.45
521,3705.0,99,3.38
522,3708.0,100,3.31
523,3710.0,99,3.22
524,3759.0,100,3.25
525,3862.0,103,3.21
526,3916.0,104,3.05
527,3970.0,104,3.06
528,4025.0,105,2.81
529,4080.0,105,2.77
530,4137.0,107,2.74
531,4195.0,108,2.87
532,4264.0,108,2.79
533,4283.0,107,2.74
534,4302.0,106,2.71
535,4299.0,107,2.69
536,4297.0,107,2.64
537,4295.0,105,2.53
538,4294.0,104,2.52
539,4293.0,104,2.61
540,4287.0,105,2.73
541,4275.0,103,2.88
542,4270.0,101,3.05
543,4250.0,99,3.2
544,4214.0,99,3.31
545,4224.0,97,3.47
546,4189.0,95,3.51
547,4194.0,96,3.59
548,4159.0,93,3.58
549,4159.0,92,3.63
550,4197.0,93,3.64
551,4209.0,92,3.61
552,4222.0,93,3.62
553,4237.0,94,3.6
554,4300.0,95,3.66
555,4320.0,97,3.54
556,4342.0,99,3.46
557,4353.0,98,3.34
558,4042.0,95,3.22
559,3744.0,94,3.17
560,3548.0,93,3.15
561,3315.0,92,3.18
562,3093.0,90,3.17
563,2865.0,88,3.22
564,2642.0,89,3.33
565,2421.0,89,3.32
566,2213.0,88,3.37
567,2208.0,89,3.36
568,2005.0,89,3.35
569,1969.0,90,3.26
570,1740.0,91,3.21
571,1528.0,93,3.09
572,1538.0,93,3.04
573,1585.0,92,3.02
574,1632.0,92,2.97
575,1667.0,96,2.87
576,1703.0,95,2.78
577,1745.0,99,2.81
578,1792.0,101,2.8
579,1872.0,101,2.72
580,1923.0,103,2.75
581,1959.0,102,2.69
582,2006.0,105,2.79
583,2047.0,102,2.89
584,2102.0,105,2.97
585,2053.0,104,3.04
586,2081.0,104,3.11
587,2081.0,103,3.17
588,2085.0,104,3.16
589,2120.0,101,3.29
590,2126.0,101,3.26
591,2130.0,100,3.2
592,2156.0,101,3.21
593,2175.0,98,3.16
594,2148.0,97,3.15
595,2110.0,96,3.15
596,2091.0,96,3.19
597,2096.0,96,3.27
598,2071.0,93,3.19
599,2103.0,94,3.21
600,2121.0,91,3.39
601,2141.0,91,3.26
602,2185.0,92,3.28
603,2244.0,94,3.19
604,2331.0,95,3.11
605,2391.0,96,3.15
606,2460.0,98,2.97
607,2525.0,101,2.91
608,2592.0,102,2.85
609,2660.0,102,2.67
610,2732.0,101,2.6
611,2749.0,101,2.58
612,2779.0,104,2.43
613,2811.0,104,2.42
614,2863.0,106,2.45
615,2903.0,108,2.43
616,2951.0,107,2.42
617,3002.0,107,2.35
618,3061.0,109,2.32
619,3125.0,112,2.35
620,3189.0,114,2.37
621,3215.0,117,2.42
622,3191.0,115,2.48
623,3164.0,114,2.53
624,3141.0,113,2.66
625,3123.0,114,2.67
626,3153.0,115,2.7
627,3135.0,112,2.7
628,3128.0,114,2.69
629,3135.0,115,2.6
630,3099.0,112,2.49
631,3045.0,109,2.39
632,2973.0,107,2.46
633,2903.0,104,2.57
634,2852.0,101,2.64
635,2943.0,103,2.69
636,2946.0,101,2.67
637,2961.0,101,2.71
638,3025.0,104,2.71
639,3046.0,104,2.75
640,3068.0,104,2.76
641,3129.0,106,2.75
642,3150.0,106,2.74
643,3172.0,104,2.7
644,3236.0,106,2.69
645,3261.0,106,2.62
646,3286.0,105,2.6
647,3353.0,105,2.59
648,3377.0,104,2.56
649,3389.0,104,2.42
650,3436.0,102,2.39
651,3362.0,101,2.46
652,3287.0,101,2.47
653,3253.0,100,2.6
654,3192.0,99,2.59
655,3131.0,99,2.64
656,3071.0,99,2.68
657,3014.0,101,2.68
658,2954.0,99,2.73
659,2896.0,100,2.57
660,2879.0,101,2.5
661,2827.0,102,2.42
662,2775.0,102,2.42
663,2839.0,102,2.25
664,2800.0,102,2.11
665,2761.0,100,2.08
666,2763.0,103,2.0
667,2731.0,104,1.86
668,2740.0,107,1.77
669,2754.0,110,1.74
670,2818.0,112,1.81
671,2834.0,113,1.87
672,2859.0,115,1.95
673,2888.0,117,1.99
674,2920.0,118,2.09
675,2948.0,117,2.13
676,2985.0,117,2.24
677,3023.0,117,2.28
678,3100.0,117,2.47
679,3178.0,117,2.5
680,3260.0,120,2.51
681,3342.0,120,2.53
682,3425.0,120,2.45
683,3506.0,119,2.5
684,3589.0,119,2.51
685,3708.0,120,2.48
686,3793.0,121,2.49
687,3878.0,121,2.45
688,3962.0,120,2.42
689,4047.0,120,2.48
690,4168.0,121,2.51
691,4254.0,122,2.52
692,4341.0,122,2.58
693,4428.0,122,2.47
694,4515.0,121,2.48
695,4637.0,122,2.44
696,4726.0,124,2.43
697,4816.0,123,2.49
698,4907.0,124,2.47
699,5000.0,125,2.51
700,5093.0,125,2.53
701,5186.0,125,2.57
702,5269.0,125,2.56
703,5358.0,126,2.59
704,5448.0,126,2.56
705,5539.0,126,2.58
706,5631.0,127,2.6
707,5724.0,128,2.57
708,5817.0,127,2.66
709,5910.0,127,2.74
710,6036.0,127,2.74
711,6131.0,129,2.76
712,6226.0,129,2.61
713,6322.0,129,2.56
714,6418.0,130,2.53
715,6549.0,131,2.47
716,6683.0,134,2.42
717,6703.0,131,2.32
718,6771.0,131,2.21
719,6844.0,133,2.0
720,6873.0,132,1.97
721,6964.0,135,1.85
722,7009.0,135,1.72
723,7086.0,134,1.77
724,7166.0,136,1.73
725,7249.0,138,1.78
726,7331.0,137,1.89
727,7413.0,136,1.9
728,7493.0,135,1.95
729,7631.0,138,1.94
730,7719.0,137,1.92
731,7809.0,137,1.94
732,7900.0,138,1.83
733,7990.0,138,1.72
734,8074.0,137,1.52
735,8212.0,140,1.53
736,8305.0,141,1.56
737,8401.0,143,1.57
738,8497.0,143,1.63
739,8593.0,142,1.68
740,8735.0,142,1.73
741,8833.0,144,1.79
742,8931.0,144,1.85
743,9030.0,144,1.85
744,9177.0,147,1.85
745,9278.0,147,1.83
746,9380.0,147,1.83
747,9438.0,147,1.95
748,9586.0,148,1.92
749,9690.0,149,1.88
750,9795.0,149,1.89
751,9900.0,150,1.74
752,10050.0,150,1.61
753,10155.0,151,1.58
754,10262.0,150,1.34
755,10370.0,152,1.3
756,10479.0,152,1.28
757,10589.0,153,1.25
758,10701.0,154,1.19
759,10809.0,153,1.16
760,10960.0,153,1.13
761,11071.0,154,1.1
762,11228.0,157,1.06
763,11341.0,157,1.09
764,11456.0,158,1.08
765,11485.0,158,1.13
766,11466.0,156,1.19
767,11453.0,153,1.26
768,11455.0,150,1.31
769,11463.0,147,1.29
770,11508.0,146,1.43
771,11526.0,145,1.43
772,11544.0,141,1.49
773,11583.0,138,1.55
774,11657.0,136,1.68
775,11621.0,133,1.77
776,11614.0,130,1.79
777,11551.0,127,1.92
778,11529.0,124,2.01
779,11501.0,123,2.14
780,11483.0,122,2.2
781,11467.0,122,2.26
782,11488.0,123,2.24
783,11484.0,122,2.25
784,11496.0,124,2.23
785,11505.0,121,2.2
786,11530.0,122,2.16
787,11655.0,125,2.1
788,11700.0,124,2.08
789,11747.0,122,2.07
790,11846.0,125,2.0
791,11938.0,126,1.98
792,12049.0,127,1.88
793,12164.0,125,1.89
794,12284.0,127,1.95
795,12406.0,128,2.06
796,12529.0,129,2.07
797,12653.0,130,2.06
798,12779.0,133,2.07
799,12910.0,136,2.04
800,13042.0,137,2.03
801,13177.0,138,2.02
802,13313.0,139,2.02
803,13435.0,139,2.07
804,13560.0,139,2.09
805,13685.0,139,2.2
806,13800.0,138,2.17
807,13924.0,137,2.2
808,14053.0,141,2.16
809,14178.0,138,2.17
810,14270.0,140,2.13
811,14403.0,141,2.16
812,14533.0,139,2.21
813,14674.0,141,2.15
814,14802.0,142,2.11
815,14931.0,139,2.09
816,15072.0,141,2.03
817,15214.0,143,2.05
818,15360.0,146,2.1
819,15411.0,144,2.11
820,15469.0,147,2.11
821,15555.0,146,2.08
822,15646.0,149,1.99
823,15740.0,152,2.02
824,15832.0,151,1.96
825,15929.0,152,2.05
826,16027.0,153,2.02
827,16126.0,153,2.01
828,15839.0,153,2.05
829,15553.0,151,2.01
830,15321.0,150,1.89
831,15035.0,148,1.9
832,14747.0,147,1.82
833,14461.0,146,1.88
834,14175.0,146,1.75
835,13892.0,145,1.79
836,13800.0,149,1.77
837,13709.0,148,1.81
838,13448.0,147,1.74
839,13237.0,146,1.79
840,12978.0,145,1.77
841,12727.0,144,1.82
842,12516.0,141,1.85
843,12601.0,143,1.83
844,12393.0,143,1.74
845,12236.0,143,1.64
846,12057.0,146,1.56
847,11885.0,146,1.57
848,11907.0,148,1.6
849,11760.0,148,1.48
850,11677.0,148,1.48
851,11551.0,148,1.35
852,11483.0,149,1.27
853,11366.0,146,1.14
854,11259.0,147,1.09
855,11284.0,146,1.01
856,11203.0,146,1.02
857,11242.0,146,1.07
858,11035.0,145,1.14
859,10835.0,144,1.19
860,10639.0,143,1.21
861,10442.0,142,1.29
862,10250.0,143,1.35
863,10050.0,141,1.43
864,9856.0,140,1.47
865,9706.0,141,1.46
866,9552.0,142,1.41
867,9610.0,142,1.5
868,9466.0,143,1.5
869,9280.0,144,1.52
870,9037.0,144,1.56
871,8984.0,142,1.52
872,8766.0,141,1.56
873,8532.0,139,1.55
874,8293.0,136,1.61
875,8083.0,137,1.64
876,7896.0,137,1.7
877,7718.0,136,1.78
878,7575.0,139,1.88
879,7646.0,139,1.96
880,7491.0,139,1.99
881,7253.0,137,1.97
882,7105.0,138,2.08
883,7002.0,136,2.07
884,6902.0,136,2.1
885,6801.0,135,2.11
886,6705.0,137,2.11
887,6627.0,137,2.08
888,6720.0,138,2.15
889,6813.0,139,2.13
890,6748.0,139,2.16
891,6720.0,141,2.2
892,6832.0,143,2.12
893,6785.0,144,2.21
894,6796.0,147,2.1
895,6814.0,148,2.17
896,6835.0,151,2.15
897,6854.0,150,2.11
898,6887.0,151,2.03
899,6921.0,153,1.9
900,6901.0,155,1.83
901,6924.0,154,1.76
902,7080.0,158,1.71
903,7144.0,159,1.54
904,7285.0,160,1.48
905,7342.0,160,1.35
906,7401.0,160,1.36
907,7476.0,160,1.36
908,7561.0,161,1.34
909,7650.0,161,1.32
910,7754.0,161,1.34
911,7876.0,161,1.21
912,7947.0,160,1.22
913,8039.0,161,1.25
914,8135.0,159,1.28
915,8269.0,159,1.34
916,8368.0,159,1.35
917,8503.0,159,1.35
918,8643.0,162,1.35
919,8775.0,161,1.42
920,8907.0,160,1.47
921,9041.0,159,1.43
922,9202.0,161,1.43
923,9214.0,159,1.42
924,9275.0,157,1.49
925,9363.0,158,1.56
926,9453.0,159,1.57
927,9548.0,163,1.59
928,9638.0,161,1.54
929,9733.0,162,1.59
930,9827.0,161,1.5
931,9922.0,161,1.54
932,10017.0,161,1.51
933,10178.0,162,1.52
934,10094.0,159,1.57
935,10010.0,159,1.52
936,9926.0,157,1.46
937,9843.0,157,1.31
938,9763.0,156,1.29
939,9683.0,155,1.23
940,9670.0,157,1.25
941,9590.0,155,1.32
942,9597.0,156,1.33
943,9518.0,155,1.3
944,9526.0,156,1.25
945,9407.0,155,1.14
946,9277.0,152,1.08
947,9160.0,153,1.21
948,9046.0,154,1.25
949,8932.0,153,1.26
950,8975.0,153,1.31
951,8878.0,155,1.37
952,8780.0,152,1.54
953,8683.0,151,1.57
954,8667.0,151,1.61
955,8652.0,148,1.69
956,8639.0,148,1.69
957,8546.0,145,1.74
958,8538.0,145,1.77
959,8527.0,145,1.87
960,8508.0,145,1.92
961,8432.0,144,2.02
962,8436.0,143,2.07
963,8341.0,141,2.11
964,8333.0,141,2.09
965,8374.0,140,2.1
966,8456.0,140,2.18
967,8566.0,142,2.24
968,8625.0,145,2.28
969,8709.0,145,2.31
970,8851.0,145,2.39
971,8937.0,145,2.45
972,9024.0,146,2.45
973,9113.0,146,2.48
974,9202.0,146,2.51
975,9291.0,146,2.47
976,9386.0,147,2.5
977,9446.0,145,2.48
978,9530.0,144,2.48
979,9614.0,142,2.5
980,9732.0,143,2.52
981,9852.0,144,2.56
982,9974.0,145,2.6
983,10097.0,145,2.6
984,10243.0,146,2.56
985,10391.0,148,2.49
986,10493.0,150,2.41
987,10501.0,148,2.45
988,10511.0,148,2.32
989,10524.0,148,2.25
990,10458.0,148,2.23
991,10400.0,148,2.17
992,10349.0,146,2.16
993,10318.0,142,2.08
994,10309.0,143,2.05
995,10334.0,143,2.01
996,10388.0,143,2.03
997,10397.0,144,2.01
998,10407.0,144,2.05
999,10449.0,145,1.98
1000,10555.0,147,1.9
1001,10691.0,150,1.85
1002,10742.0,149,1.76
1003,10802.0,151,1.74
1004,10868.0,154,1.68
1005,10973.0,154,1.65
1006,11042.0,159,1.6
1007,11113.0,160,1.59
1008,11179.0,157,1.59
1009,11250.0,156,1.58
1010,11325.0,157,1.5
1011,11473.0,159,1.53
1012,11551.0,160,1.47
1013,11683.0,163,1.49
1014,11763.0,162,1.45
1015,11887.0,164,1.41
1016,12012.0,165,1.4
1017,12141.0,166,1.35
1018,12271.0,167,1.31
1019,12433.0,170,1.3
1020,12567.0,170,1.3
1021,12669.0,169,1.32
1022,12778.0,170,1.35
1023,12913.0,169,1.33
1024,13019.0,169,1.32
1025,13131.0,169,1.33
1026,13268.0,170,1.4
1027,13380.0,170,1.42
1028,13495.0,171,1.5
1029,13610.0,171,1.54
1030,13716.0,169,1.59
1031,13823.0,168,1.62
1032,13932.0,165,1.65
1033,14093.0,166,1.61
1034,14207.0,167,1.64
1035,14308.0,166,1.64
1036,14415.0,165,1.67
1037,14522.0,166,1.63
1038,14626.0,164,1.69
1039,14759.0,165,1.77
1040,14762.0,162,1.83
1041,14768.0,161,1.94
1042,14798.0,156,2.05
1043,14804.0,155,2.11
1044,14823.0,153,2.16
1045,14822.0,151,2.24
1046,14822.0,150,2.35
1047,14821.0,148,2.4
1048,14847.0,147,2.44
1049,14897.0,147,2.43
1050,14948.0,147,2.4
1051,14976.0,146,2.44
1052,15008.0,148,2.47
1053,15063.0,148,2.41
1054,15056.0,149,2.38
1055,15061.0,149,2.39
1056,15066.0,146,2.31
1057,15097.0,147,2.31
1058,15121.0,145,2.3
1059,15201.0,146,2.31
1060,15305.0,147,2.39
1061,15412.0,149,2.27
1062,15563.0,151,2.29
1063,15662.0,150,2.29
1064,15764.0,151,2.11
1065,15908.0,150,2.04
1066,16010.0,151,1.98
1067,16164.0,154,1.94
1068,16102.0,155,1.87
1069,16043.0,156,1.87
1070,15985.0,155,1.8
1071,15928.0,155,1.92
1072,15871.0,154,1.91
1073,15818.0,156,1.82
1074,15769.0,158,1.65
1075,15720.0,158,1.61
1076,15674.0,160,1.55
1077,15630.0,161,1.43
1078,15586.0,161,1.37
1079,15751.0,165,1.28
1080,15622.0,164,1.23
1081,15456.0,163,1.19
1082,15298.0,161,1.17
