step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
75.0,8,112.0,3.8620689655172415,6.1526012935723795,4,100.0,0.2587922033789208,0,0.0,0.9255924582221954,4,25.0,0.3100132666364608,8,125.0
80.0,7,127.0,4.233333333333333,6.3289348824187135,5,124.0,0.057606974036663455,0,2.0,0.7864756332635674,2,23.0,0.27730675505867475,7,149.0
85.0,4,36.0,1.2857142857142858,7.0683658926488,2,97.0,0.36238142989874245,1,5.0,0.6547871287214921,1,16.0,0.3426050870214652,4,118.0
90.0,2,9.0,0.36,6.962760612623467,1,29.0,0.6601550414225579,1,10.0,0.6517477993819998,0,10.0,0.27190715211966693,2,49.0
95.0,7,29.0,0.9354838709677419,5.486050266530861,2,31.0,0.3995382482434357,1,15.0,0.44898764726833856,4,23.0,0.23001868998445674,7,69.0
100.0,8,22.0,0.6285714285714286,6.933830246206111,3,41.0,0.553908936581207,1,3.0,0.7191296872467463,4,24.0,0.2749508795568683,8,68.0
105.0,7,34.0,0.9444444444444444,6.773064400960028,3,51.0,0.4135527969529468,2,11.0,0.5173503383504341,2,23.0,0.2855723217094928,7,85.0
110.0,3,35.0,1.0606060606060606,6.617618050601902,2,61.0,0.5664571265749305,1,12.0,0.45028441115166706,0,10.0,0.22694644616064563,3,83.0
115.0,5,44.0,1.1891891891891893,7.782977900896572,5,72.0,0.562071243441868,0,2.0,0.5731975856257171,0,12.0,0.4712095290643486,5,86.0
120.0,11,83.0,2.024390243902439,5.972250650492676,5,91.0,0.4502619033919395,2,7.0,0.2535698451470176,4,27.0,0.2219330387364189,11,125.0
125.0,19,135.0,3.13953488372093,3.924460797398903,7,117.0,0.26422406216051153,6,31.0,0.13867869961860943,5,38.0,0.09678372624873775,18,186.0
130.0,17,149.0,3.5476190476190474,3.802203501667653,10,155.0,0.25226210350102574,2,34.0,0.35144937707991747,4,34.0,0.13637500271804814,16,223.0
135.0,13,201.0,4.785714285714286,5.226387027264027,10,206.0,0.2502630111175727,0,13.0,0.4256097809599413,2,31.0,0.4572598226113391,12,250.0
140.0,17,274.0,6.088888888888889,5.926065198989896,13,261.0,0.23820668264230302,0,1.0,0.659185049051288,3,34.0,0.45717694713463025,16,296.0
145.0,19,360.0,7.346938775510204,5.489332364551522,13,323.0,0.2621308547286427,0,0.0,0.8033038466045951,5,46.0,0.2509221290788813,18,369.0
150.0,25,470.0,9.038461538461538,4.708862963535477,13,388.0,0.2806504630945377,1,1.0,0.5661137062251138,10,85.0,0.15100999488479,24,474.0
155.0,30,603.0,11.377358490566039,4.350376450900957,15,456.0,0.24528219121371228,2,9.0,0.5711563706149705,12,137.0,0.12454943400298363,29,602.0
160.0,27,604.0,11.185185185185185,4.212270030766209,16,531.0,0.25531398056925947,3,20.0,0.46530895655927584,8,176.0,0.15113140418906415,27,727.0
165.0,34,675.0,11.842105263157896,2.992499127087004,17,612.0,0.20769660142804106,6,41.0,0.05959445800856567,11,220.0,0.10164698584347893,34,873.0
170.0,29,722.0,12.033333333333333,3.252291729932072,18,697.0,0.12432656329042578,5,51.0,0.18771176900448636,6,214.0,0.11445013268164406,29,962.0
175.0,21,763.0,12.716666666666667,4.17632203692588,17,782.0,0.10709626954938967,1,66.0,0.3447037949483588,3,160.0,0.2605604016802311,21,1008.0
180.0,22,851.0,14.929824561403509,4.320880723741779,17,867.0,0.1129326804125403,4,79.0,0.27448940248541065,1,95.0,0.3968430233128267,22,1041.0
185.0,30,952.0,16.413793103448278,2.380559006644098,20,956.0,0.018581185751288108,5,79.0,0.10068901722415083,5,102.0,0.32513734571446207,30,1137.0
190.0,32,1075.0,18.859649122807017,2.433051058448461,20,1057.0,0.157059998303264,4,65.0,0.19465350228254766,8,133.0,0.1580168951338474,32,1255.0
195.0,34,1208.0,20.47457627118644,2.5721466202496703,19,1144.0,0.18405914081222335,1,33.0,0.3904581003788346,14,189.0,0.04835073196666884,34,1366.0
