run,time,traffic_light_id,action
1,715.0,J2,0
1,715.0,J3,0
1,720.0,J1,0
1,720.0,J2,1
1,720.0,J3,1
1,725.0,J1,0
1,725.0,J2,0
1,725.0,J3,0
1,730.0,J1,0
1,730.0,J2,0
1,730.0,J3,0
1,735.0,J1,1
1,735.0,J2,0
1,735.0,J3,0
1,740.0,J1,0
1,740.0,J2,0
1,740.0,J3,0
1,745.0,J1,0
1,745.0,J2,1
1,745.0,J3,0
1,750.0,J1,0
1,750.0,J2,0
1,750.0,J3,1
1,755.0,J1,0
1,755.0,J2,0
1,755.0,J3,0
1,760.0,J1,0
1,760.0,J2,0
1,760.0,J3,0
1,765.0,J1,0
1,765.0,J2,0
1,765.0,J3,0
1,770.0,J1,0
1,770.0,J2,0
1,770.0,J3,0
1,775.0,J1,0
1,775.0,J2,0
1,775.0,J3,0
1,780.0,J1,1
1,780.0,J2,0
1,780.0,J3,0
1,785.0,J1,0
1,785.0,J2,0
1,785.0,J3,1
1,790.0,J1,0
1,790.0,J2,1
1,790.0,J3,0
1,795.0,J1,0
1,795.0,J2,1
1,795.0,J3,0
1,800.0,J1,0
1,800.0,J2,0
1,800.0,J3,0
1,805.0,J1,0
1,805.0,J2,0
1,805.0,J3,0
1,810.0,J1,0
1,810.0,J2,0
1,810.0,J3,0
1,815.0,J1,1
1,815.0,J2,1
1,815.0,J3,0
1,820.0,J1,0
1,820.0,J2,0
1,820.0,J3,1
1,825.0,J1,0
1,825.0,J2,0
1,825.0,J3,1
1,830.0,J1,0
1,830.0,J2,0
1,830.0,J3,0
1,835.0,J1,0
1,835.0,J2,0
1,835.0,J3,0
1,840.0,J1,0
1,840.0,J2,0
1,840.0,J3,1
1,845.0,J1,0
1,845.0,J2,1
1,845.0,J3,0
1,850.0,J1,0
1,850.0,J2,0
1,850.0,J3,0
1,855.0,J1,0
1,855.0,J2,0
1,855.0,J3,1
1,860.0,J1,0
1,860.0,J2,0
1,860.0,J3,0
1,865.0,J1,0
1,865.0,J2,0
1,865.0,J3,0
1,870.0,J1,0
1,870.0,J2,0
1,870.0,J3,0
1,875.0,J1,0
1,875.0,J2,0
1,875.0,J3,1
1,880.0,J1,0
1,880.0,J2,0
1,880.0,J3,0
1,885.0,J1,1
1,885.0,J2,0
1,885.0,J3,0
1,890.0,J1,0
1,890.0,J2,0
1,890.0,J3,0
1,895.0,J1,0
1,895.0,J2,0
1,895.0,J3,0
1,900.0,J1,0
1,900.0,J2,1
1,900.0,J3,0
1,905.0,J1,0
1,905.0,J2,0
1,905.0,J3,0
1,910.0,J1,0
1,910.0,J2,0
1,910.0,J3,1
1,915.0,J1,0
1,915.0,J2,0
1,915.0,J3,1
1,920.0,J1,0
1,920.0,J2,0
1,920.0,J3,0
1,925.0,J1,0
1,925.0,J2,1
1,925.0,J3,0
1,930.0,J1,0
1,930.0,J2,0
1,930.0,J3,1
1,935.0,J1,0
1,935.0,J2,0
1,935.0,J3,0
1,940.0,J1,0
1,940.0,J2,0
1,940.0,J3,0
