Czas(s),Calkowity czas oczekiwania(s)
2615.0,275.0
2620.0,255.0
2625.0,275.0
2630.0,265.0
2635.0,255.0
2640.0,250.0
2645.0,265.0
2650.0,235.0
2655.0,280.0
2660.0,290.0
2665.0,310.0
2670.0,285.0
2675.0,270.0
2680.0,210.0
2685.0,225.0
2690.0,215.0
2695.0,250.0
2700.0,230.0
2705.0,220.0
2710.0,170.0
2715.0,210.0
2720.0,200.0
2725.0,200.0
2730.0,215.0
2735.0,200.0
2740.0,180.0
2745.0,140.0
2750.0,155.0
2755.0,160.0
2760.0,155.0
2765.0,140.0
2770.0,170.0
2775.0,165.0
2780.0,180.0
2785.0,175.0
2790.0,155.0
2795.0,110.0
2800.0,115.0
2805.0,110.0
2810.0,120.0
2815.0,130.0
2820.0,145.0
2825.0,175.0
2830.0,225.0
2835.0,215.0
2840.0,210.0
2845.0,235.0
2850.0,260.0
2855.0,240.0
2860.0,240.0
2865.0,240.0
2870.0,245.0
2875.0,235.0
2880.0,215.0
2885.0,230.0
2890.0,210.0
2895.0,140.0
2900.0,120.0
2905.0,90.0
2910.0,105.0
2915.0,115.0
2920.0,125.0
2925.0,105.0
2930.0,110.0
2935.0,115.0
2940.0,130.0
2945.0,135.0
2950.0,135.0
2955.0,140.0
2960.0,150.0
2965.0,165.0
2970.0,180.0
2975.0,195.0
2980.0,145.0
2985.0,165.0
2990.0,165.0
2995.0,150.0
3000.0,165.0
3005.0,175.0
3010.0,195.0
3015.0,205.0
3020.0,205.0
3025.0,175.0
3030.0,175.0
3035.0,165.0
3040.0,155.0
3045.0,205.0
3050.0,235.0
3055.0,250.0
3060.0,250.0
3065.0,240.0
3070.0,285.0
3075.0,315.0
3080.0,320.0
3085.0,300.0
3090.0,290.0
3095.0,300.0
3100.0,265.0
3105.0,290.0
3110.0,270.0
3115.0,250.0
3120.0,235.0
3125.0,250.0
3130.0,300.0
3135.0,335.0
3140.0,305.0
3145.0,315.0
3150.0,355.0
3155.0,385.0
3160.0,390.0
3165.0,370.0
3170.0,400.0
3175.0,395.0
3180.0,410.0
3185.0,425.0
3190.0,410.0
3195.0,365.0
3200.0,340.0
3205.0,325.0
3210.0,290.0
3215.0,305.0
3220.0,310.0
3225.0,235.0
3230.0,210.0
3235.0,225.0
3240.0,250.0
3245.0,245.0
3250.0,255.0
3255.0,185.0
3260.0,175.0
3265.0,200.0
3270.0,145.0
3275.0,150.0
3280.0,145.0
3285.0,155.0
3290.0,170.0
3295.0,140.0
3300.0,150.0
3305.0,180.0
3310.0,195.0
3315.0,190.0
3320.0,170.0
3325.0,190.0
3330.0,155.0
3335.0,175.0
3340.0,205.0
3345.0,210.0
3350.0,205.0
3355.0,215.0
3360.0,185.0
3365.0,205.0
3370.0,220.0
3375.0,235.0
3380.0,255.0
3385.0,285.0
3390.0,290.0
3395.0,300.0
3400.0,325.0
3405.0,335.0
3410.0,295.0
3415.0,290.0
3420.0,260.0
3425.0,185.0
3430.0,215.0
3435.0,205.0
3440.0,215.0
3445.0,235.0
3450.0,250.0
3455.0,250.0
3460.0,210.0
3465.0,230.0
3470.0,220.0
3475.0,240.0
3480.0,200.0
3485.0,225.0
3490.0,190.0
3495.0,215.0
3500.0,235.0
3505.0,240.0
3510.0,275.0
3515.0,305.0
3520.0,265.0
3525.0,270.0
3530.0,285.0
3535.0,310.0
3540.0,325.0
3545.0,245.0
3550.0,230.0
3555.0,235.0
3560.0,150.0
3565.0,165.0
3570.0,175.0
3575.0,160.0
3580.0,190.0
3585.0,160.0
3590.0,170.0
3595.0,180.0
3600.0,160.0
3605.0,175.0
3610.0,200.0
3615.0,170.0
3620.0,170.0
3625.0,200.0
3630.0,170.0
3635.0,180.0
3640.0,210.0
3645.0,195.0
3650.0,210.0
3655.0,230.0
3660.0,255.0
3665.0,290.0
3670.0,330.0
3675.0,380.0
3680.0,385.0
3685.0,385.0
3690.0,435.0
3695.0,435.0
3700.0,405.0
3705.0,435.0
3710.0,465.0
3715.0,505.0
3720.0,525.0
3725.0,490.0
3730.0,495.0
3735.0,480.0
3740.0,465.0
3745.0,480.0
3750.0,485.0
3755.0,495.0
3760.0,435.0
3765.0,450.0
3770.0,360.0
3775.0,380.0
3780.0,400.0
3785.0,310.0
3790.0,320.0
3795.0,255.0
3800.0,275.0
3805.0,275.0
3810.0,290.0
3815.0,265.0
3820.0,260.0
3825.0,275.0
3830.0,295.0
3835.0,320.0
3840.0,265.0
3845.0,265.0
3850.0,295.0
3855.0,295.0
3860.0,265.0
3865.0,300.0
3870.0,295.0
3875.0,320.0
3880.0,300.0
3885.0,315.0
3890.0,325.0
3895.0,265.0
3900.0,260.0
3905.0,295.0
3910.0,290.0
3915.0,305.0
3920.0,300.0
3925.0,330.0
3930.0,290.0
3935.0,270.0
3940.0,305.0
3945.0,325.0
3950.0,295.0
3955.0,310.0
3960.0,275.0
3965.0,295.0
3970.0,325.0
3975.0,240.0
3980.0,250.0
3985.0,220.0
3990.0,255.0
3995.0,240.0
4000.0,265.0
4005.0,275.0
4010.0,275.0
4015.0,315.0
