step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,agents_total_stopped,agents_total_accumulated_waiting_time
480.0,9,300.0,8.333333333333334,7.990583561592847,0,0
485.0,12,347.0,9.378378378378379,7.278609057187429,0,0
490.0,13,410.0,11.08108108108108,6.855889267770053,0,0
495.0,10,286.0,7.15,6.777114961415644,0,0
500.0,10,213.0,5.071428571428571,7.540225085487193,0,0
505.0,13,265.0,6.463414634146342,7.135598653597163,0,0
510.0,17,343.0,8.166666666666666,6.580228756391715,0,0
515.0,17,408.0,9.951219512195122,5.312390550415433,0,0
520.0,19,493.0,11.204545454545455,5.36233572958171,0,0
525.0,21,590.0,13.11111111111111,5.489285024162054,0,0
530.0,25,591.0,13.133333333333333,4.081914678417751,0,0
535.0,30,731.0,15.891304347826088,3.4852148541049357,0,0
540.0,30,849.0,17.6875,3.659082323754209,0,0
