Czas(s),Calkowity czas oczekiwania(s)
2995.0,38.0
3000.0,23.0
3005.0,70.0
3010.0,144.0
3015.0,248.0
3020.0,385.0
3025.0,553.0
3030.0,741.0
3035.0,931.0
3040.0,778.0
3045.0,542.0
3050.0,353.0
3055.0,103.0
3060.0,24.0
3065.0,44.0
3070.0,64.0
3075.0,84.0
3080.0,105.0
3085.0,7.0
3090.0,36.0
3095.0,94.0
3100.0,181.0
3105.0,294.0
3110.0,433.0
3115.0,603.0
3120.0,792.0
3125.0,896.0
3130.0,662.0
3135.0,495.0
3140.0,286.0
3145.0,59.0
3150.0,85.0
3155.0,114.0
3160.0,150.0
3165.0,195.0
3170.0,90.0
3175.0,12.0
3180.0,52.0
3185.0,123.0
3190.0,229.0
3195.0,361.0
3200.0,528.0
3205.0,715.0
3210.0,905.0
3215.0,844.0
3220.0,604.0
3225.0,372.0
3230.0,125.0
3235.0,15.0
3240.0,30.0
3245.0,51.0
3250.0,81.0
3255.0,119.0
3260.0,13.0
3265.0,36.0
3270.0,93.0
3275.0,179.0
3280.0,295.0
3285.0,447.0
3290.0,625.0
3295.0,815.0
3300.0,1005.0
3305.0,762.0
3310.0,548.0
3315.0,310.0
3320.0,47.0
3325.0,19.0
3330.0,26.0
3335.0,36.0
3340.0,46.0
3345.0,5.0
3350.0,11.0
3355.0,43.0
3360.0,100.0
3365.0,186.0
3370.0,300.0
3375.0,448.0
3380.0,627.0
3385.0,817.0
3390.0,836.0
3395.0,609.0
3400.0,415.0
3405.0,202.0
3410.0,52.0
3415.0,76.0
3420.0,111.0
3425.0,151.0
3430.0,196.0
3435.0,48.0
3440.0,19.0
3445.0,63.0
3450.0,136.0
3455.0,236.0
3460.0,364.0
3465.0,524.0
3470.0,708.0
3475.0,898.0
3480.0,752.0
3485.0,550.0
3490.0,337.0
3495.0,137.0
3500.0,39.0
3505.0,66.0
3510.0,100.0
3515.0,140.0
3520.0,192.0
3525.0,23.0
3530.0,28.0
3535.0,83.0
3540.0,172.0
3545.0,291.0
3550.0,436.0
3555.0,607.0
3560.0,797.0
3565.0,905.0
3570.0,680.0
3575.0,475.0
3580.0,292.0
3585.0,68.0
3590.0,108.0
3595.0,154.0
3600.0,209.0
3605.0,264.0
3610.0,165.0
3615.0,16.0
3620.0,55.0
3625.0,126.0
3630.0,227.0
3635.0,363.0
3640.0,533.0
3645.0,722.0
3650.0,912.0
3655.0,848.0
3660.0,610.0
3665.0,427.0
3670.0,219.0
3675.0,51.0
3680.0,77.0
3685.0,107.0
3690.0,142.0
3695.0,177.0
3700.0,4.0
3705.0,26.0
3710.0,75.0
3715.0,151.0
3720.0,257.0
3725.0,389.0
3730.0,548.0
3735.0,734.0
3740.0,924.0
3745.0,695.0
3750.0,471.0
3755.0,341.0
3760.0,98.0
3765.0,98.0
3770.0,133.0
3775.0,171.0
3780.0,215.0
3785.0,188.0
3790.0,21.0
3795.0,57.0
3800.0,129.0
3805.0,225.0
3810.0,348.0
3815.0,499.0
3820.0,676.0
3825.0,866.0
3830.0,882.0
3835.0,634.0
3840.0,448.0
3845.0,224.0
3850.0,49.0
3855.0,78.0
3860.0,111.0
3865.0,154.0
3870.0,199.0
3875.0,53.0
3880.0,14.0
3885.0,55.0
3890.0,121.0
3895.0,219.0
3900.0,349.0
3905.0,513.0
3910.0,702.0
3915.0,892.0
3920.0,753.0
3925.0,537.0
3930.0,375.0
3935.0,157.0
3940.0,98.0
3945.0,133.0
3950.0,168.0
3955.0,203.0
3960.0,238.0
3965.0,2.0
3970.0,30.0
3975.0,91.0
3980.0,182.0
3985.0,299.0
3990.0,449.0
3995.0,629.0
4000.0,819.0
4005.0,927.0
4010.0,693.0
4015.0,478.0
4020.0,244.0
4025.0,15.0
4030.0,27.0
4035.0,46.0
4040.0,73.0
4045.0,103.0
4050.0,29.0
4055.0,10.0
4060.0,40.0
4065.0,95.0
4070.0,182.0
4075.0,304.0
4080.0,452.0
4085.0,634.0
4090.0,824.0
4095.0,768.0
4100.0,585.0
4105.0,384.0
4110.0,195.0
4115.0,45.0
4120.0,70.0
4125.0,95.0
4130.0,124.0
4135.0,154.0
4140.0,3.0
4145.0,29.0
4150.0,82.0
4155.0,164.0
4160.0,276.0
4165.0,421.0
4170.0,603.0
4175.0,793.0
4180.0,983.0
4185.0,751.0
4190.0,555.0
4195.0,346.0
4200.0,141.0
4205.0,119.0
4210.0,169.0
4215.0,224.0
4220.0,285.0
4225.0,269.0
4230.0,47.0
4235.0,56.0
4240.0,127.0
4245.0,226.0
4250.0,356.0
4255.0,517.0
4260.0,703.0
4265.0,893.0
4270.0,911.0
4275.0,660.0
4280.0,471.0
4285.0,226.0
4290.0,23.0
4295.0,33.0
4300.0,47.0
4305.0,62.0
4310.0,80.0
4315.0,4.0
4320.0,27.0
4325.0,80.0
4330.0,167.0
4335.0,280.0
4340.0,427.0
4345.0,604.0
4350.0,794.0
4355.0,984.0
4360.0,828.0
4365.0,576.0
4370.0,376.0
4375.0,120.0
4380.0,46.0
4385.0,79.0
4390.0,114.0
4395.0,151.0
4400.0,192.0
4405.0,5.0
4410.0,26.0
4415.0,69.0
4420.0,137.0
4425.0,231.0
4430.0,351.0
4435.0,499.0
4440.0,682.0
4445.0,787.0
4450.0,573.0
4455.0,398.0
4460.0,214.0
4465.0,43.0
4470.0,73.0
